especificación,brecha_pct,EE diseño completo,EE cluster-only,IC95% diseño,razón EE
Ocupación 1 dígito,-20.86,0.00524,0.00526,"[-21.7, -20.0]",0.9959
Ocupación 4 dígitos,-15.31,0.00553,0.00555,"[-16.2, -14.4]",0.997
