metrica,valor
brecha_sin_correccion,-15.369736696746617
brecha_corregida_seleccion,-12.23066623673208
ic95_inf,-13.863659420730102
ic95_sup,-10.766760468454462
participacion_h,82.46619813413409
participacion_m,61.57688791402738
imr_coef,-0.12860866955110561
imr_p,1.6442132680786912e-21
