emparejamiento,celdas_soporte,pct_h_soporte,pct_f_soporte,Delta,D_M,D_F,D_X,D_0,equiv_convencion_pct
anio + nivel_grp + edad_tramo,50,100.0,100.0,27.20175364758012,0.0,0.0,-7.22832291372195,34.43007656130207,-25.611884960581314
anio + nivel_grp + edad_tramo + ciuo1,433,99.79488738089222,99.96655646411946,27.20175364758012,0.12711643573048567,0.004210421408984193,-5.551815821195874,32.62224261163652,-24.597866820247983
anio + nivel_grp + edad_tramo + oficio4_grp,5429,80.00855179554128,91.17824842877434,27.20175364758012,-0.24535823042437532,1.3370668657242002,8.188692277320358,17.921352734959946,-15.197716375625356
anio + nivel_grp + edad_tramo + oficio4_grp + jornada,7664,69.72592425875965,82.63784060314372,27.20175364758012,0.7944839214029324,2.523774059923891,10.480076117291425,13.403419548961871,-11.819237552334082
