especificación,brecha_pct,ic95_inf,ic95_sup,IC95%
Sin campo ni ocupación,-17.08217748723809,-18.328708172400976,-15.816621282651155,"[-18.3, -15.8]"
+ Campo de estudio (10 áreas),-13.741278762378473,-15.217324962595635,-12.239534949008457,"[-15.2, -12.2]"
+ Ocupación (4 dígitos),-11.533860186717115,-12.92243819923633,-10.123139283917348,"[-12.9, -10.1]"
+ Campo Y ocupación,-10.426599911917943,-11.8628623348508,-8.966932488525837,"[-11.9, -9.0]"
